city,community,reason,detail,old_value
Paris,Paris for Digital Nomads,dead,"Meetup 'Digital Nomads Club' (1,256 members) - last event 31 Jan 2026, no upcoming events; dormant for 6+ months.","1,256 Meetup members"
Paris,Paris Social Club,dead,"@paris.social.club only 626 followers, last IG post 26 Jan 2026 (~204 days stale); could not second-source this specific handle as active (generic 'Paris Social' Eventbrite is a different organizer).",625 IG followers @paris.social.club
Paris,Shotgun (Experience),global-brand,"VC-backed global nightlife ticketing SaaS/platform (30+ cities, Google Play app, verified handle) - a company, not a local community. 64,551 followers = global brand.","64,552 IG followers @shotgunexperience"
Paris,Sauna et Bains Collectifs (SBC),handle-mismatch,"Venue/business, not a community: paid sessions (20EUR/1.5h) at Ground Control, French branch of UK chain Community Sauna Baths (opened Jan 2026). No community RSVP-member audience to verify.","n/f (new venue, Jan 2026)"
Lisbon,Padel Social Club,global-brand,"padelsocial.club / 33k IG is a London-based padel apparel brand + events, NOT a Lisbon community. No Lisbon community handle exists; Lisbon padel is all commercial venues (Nacional, W Padel, JetSet). Note's suspicion confirmed.",n/f (33k IG is a London brand)
Lisbon,Lisbon Surf Society,dead,"IG @lisbonsurfsociety last post 2019-01-03 (~7 years stale); bio reads 'Surf shop' = retail venue, not an active event-hosting community.",699 IG followers
Lisbon,Founders Running Club Lisbon (FRC),global-brand,"@frclisbon is the local handle of the global @foundersrc brand (14+ cities). IG stale (last post 2025-04-06, ~500d) and last Luma Lisbon event was Jun 2024 (788d ago). No current local activity.",517 IG followers
Lisbon,Lisbon Social Cycling Club,dead,"IG @lisbonsocialcyclingclub stale (last post 2025-05-06, ~470d); no Strava club or 2026 dated activity found to second-source. Dormant.",587 IG followers
Lisbon,"Lisbon Digital Nomads, Expats & Locals",duplicate,"Resolves to the SAME Meetup group (meetup.com/lisbon-digital-nomads, 25,593 members, organizer Ash) already kept as 'Lisbon Digital Nomads'. Same 25,593 count = one community listed twice.","25,593 Meetup members"
Lisbon,Hot Cold Club,handle-mismatch,"It is a wellness/sauna VENUE (Rua da Palmeira 33), not an event-hosting community. Own IG stale (2025-07-31, ~384d); its dated Luma/Mato events are hosted BY OneThousandClub or third parties, and Mato shows 'no upcoming events'. Classifies as venue, not local-community.","11,191 IG followers"
Lisbon,Healthy Horizon Longevity Club,handle-mismatch,"A paid longevity treatment VENUE in Principe Real (sauna/cold plunge/float, EUR111/mo membership), not a community that convenes members to dated RSVP gatherings. No community event calendar found.","2,621 IG followers"
Lisbon,Lisbon Founders Club,dead,Luma calendar (luma.com/lisbonfoundersclub) shows NO upcoming AND no past events listed - empty/unverifiable. No dated event under this handle could be confirmed.,n/f (Luma)
Lisbon,Lisbon AI Tinkerers,dead,"Local chapter effectively dormant: only 1 genuine Lisbon meetup (Jun 14 2025, >1yr ago) + a Dec 2025 partner hackathon; 'no upcoming events'. Global 123k/252-city network, no standalone local audience count.","n/f (Poland-wide, no local count)"
Amsterdam,AIC handle @Aloha,handle-mismatch,"@Aloha is a Hawaii/aloha-themed bar-restaurant VENUE (De Ruijterkade 151) where AIC hosts a themed night — its 6,434 IG followers are the venue's, not the community's. Corrected AIC handle to @aicexpat and audience to Meetup members (25,494).","@Aloha / 6,434 IG followers"
Amsterdam,IsBurning handle @isburningparty,handle-mismatch,"Real active handle is @isburningamsterdam (23K, verified via IG + RA promoter 50894). @isburningparty returned n/f in Apify.",@isburningparty (n/f)
Amsterdam,Badhus handle @badhus.amsterdam,handle-mismatch,Real active handle is @badhus_ams (IG + TikTok + badhus-amsterdam.nl). @badhus.amsterdam returned n/f in Apify.,@badhus.amsterdam (n/f)
Amsterdam,Running Late Club handle @runninglateclub_ams,handle-mismatch,Old account; its own bio redirects to the new active account @runninglateclub.ams. Row kept with corrected handle.,@runninglateclub_ams
Amsterdam,GenAI/LLM/ML Meetup (Weaviate),duplicate,"Weaviate GenAI/LLM/ML meetup is the same AICamp + ML6 co-hosted Amsterdam AI series (organiser AICamp/kevinl, ML6 partner, B. Amsterdam venue) already captured as 'Amsterdam AI Developers Group (AICamp)'. No independent membership number (n/f on Luma). Dropped to avoid double-counting the same audience.","n/f (Luma), Weaviate host"
Warsaw,Warsaw Book Club,dead,"Handle @warsawbookclub is CORRECT (run by @tuagaczi & @asia_przyjalkowska, monthly meetups), but IG LastPost = 2025-12-06 (~255d ago), far past the >90d staleness threshold. Dormant.","4,455 IG followers"
Warsaw,Smolna (techno community),venue,"@smolna38 is a commercial nightclub/music venue (3 dancefloors, ticketed DJ concerts e.g. Aug 22/28/29 2026), not a membership community hosting its own community events. ~40k IG is the venue. venue-personal, not a local-community.","~40,000 IG followers (@smolna38)"
Warsaw,MORSly (cold plunge / morsowanie),global-brand,"B2B rental business (portable ice-bath tub rental, from 400 PLN/day) that services other clubs/events - a collab-business, not a community. No audience figure, no dated community events.",n/f (rental business)
Warsaw,Digital People Warsaw,dead,Meetup group page returns 'Group not found' (deleted/renamed). No live surface; latest referenced event was Mar 2025.,n/f (group deleted/renamed)
Warsaw,Warsaw Food Club,dead,Could not second-source. Luma slug 404s and no independent confirmation of the 'Warsaw Food Club' supper-club entity or its events found (KALBAS is only the venue restaurant). Fails second-source requirement; rejected under rigor.,n/f (no public figure); event 'Dinner #3 Caribbean @ KALBAS 2026-08-18'
Warsaw,Founders Running Club Warsaw (@foundersrc global handle as audience),global-brand,"The @foundersrc IG (20,265 followers) is the GLOBAL brand (50k+ founders / 65+ cities), NOT the local Warsaw audience. Community KEPT under corrected local Meetup count (454); this note records the rejected global figure.","20,265 IG followers"
Tallinn,Vibe Code Atelier,dead,caught by blind independent recount,"~18 RSVP/event (Luma, Meetup #1)"
Tallinn,HALL Tallinn,venue,caught by blind independent recount,"12,000 IG followers (verify_json)"
Tallinn,TallinnJS,dead,caught by blind independent recount,"1,115 members"
