City,Community,Vertical,Kolabing Fit,Platforms,Profile/Handle,Est Audience,Attendee Range,Cadence,Leader,Last Event,Monetised,Collab Businesses,Collab Evidence Links,Language
Tallinn,Tallinn Bicycle Week / Tour d’ÖÖ,cycling/culture,HIGH,IG @tallinnbicycleweek + FB + tbw.ee,@tallinnbicycleweek,"3,412 IG flwrs",,seasonal,TBW / Tour d’ÖÖ crew,Tour d’ÖÖ LXXIX night ride,,UIT Festival + Tartu Cyclists’ Society (co-org); Ruum 414 (design),UIT Festival (https://www.uituituit.ee/tour-d-%C3%B6%C3%B6-lxxix?lang=en) ; Tartu Cyclists’ Society (https://www.uituituit.ee/tour-d-%C3%B6%C3%B6-lxxix?lang=en) ; Ruum 414 (https://414.ee/project/tallinn-bicycle-week/),ET/EN
Tallinn,TERVISESPORT,cycling (amateur),MED-HIGH,Strava club 45391 + biketravel.ee,,,,seasonal,,,,Biketravel.ee (parent),Biketravel.ee (http://www.biketravel.ee/et/miks-biketravel),ET
Tallinn,CFC Cycling Fan Club Racing Team,cycling,MED,Strava 131468 + cfc.ee,,112 members,,seasonal,,,,,,ET
Tallinn,Team Vänt,cycling,LOW,Strava 183068 + FB,,audience n/f,,,,,,,,ET/EN
Tallinn,HALL Tallinn,nightlife/techno,MED-HIGH,FB + RA (ra.co/clubs/140150) + TikTok,,,,weekly,HALL collective,“Selecta: DNB x TECHNO” / ARTICLE 6 nights,,,,EN/ET
Tallinn,Tallinn Books & Bites,book club/creative,MED,IG + Beehiiv newsletter,,audience n/f,,monthly,,monthly book discussion (rotating venues),,n/f (votes books on IG),,EN
Berlin,Berlin Braves Sports Club,running/fitness,HIGH,IG @berlinbraves + Strava,@berlinbraves,~24k IG,,weekly runs,,weekly Braves run (ongoing),,"Nike, Oakley, Ciele",Nike (https://berlinbraves.com/news/nike-x-braves-homies-half-25-race-collection/) ; Oakley (https://berlinbraves.com/news/let-nothing-weigh-you-down/) ; Ciele (https://berlinbraves.com/news/ciele-athletics-and-berlin-braves/),EN/DE
Berlin,Berlin Track Club,running/track,HIGH,IG @berlintrackclub + Strava,@berlintrackclub,audience n/f,,weekly track,,weekly track sessions,,"Nike Running, Maurten",Nike Running (https://berlin-track-club.de/fast-laps/) ; Maurten (https://www.maurten.com/events/berlin-marathon),EN
Berlin,Midnight Runners Berlin,running/experience,MED-HIGH,IG @midnightrunnersberlin + FB + Heylo,@midnightrunnersberlin,~46k IG,30–80/bootcamp,weekly bootcamp,,Bootcamp Run (weekly),,Midnight Runners global (brand-run model),adidas (https://adidasrunners.adidas.com/community/berlin),EN
Berlin,Running FOMO Berlin,running/events platform,HIGH,runningfomo.com + IG @runningfomo,@runningfomo,audience n/f,running/events platform,ongoing calendar,,branded run experiences,,"LIQID (FOMO x LIQID VIP dinner, Jul)",LIQID (FOMO x LIQID VIP dinner) (https://www.fomoberlin.com/p/3-course-vip-dinner-with-liqid-x-fomo-berlin-on-july-16th),EN
Berlin,Gegen Running Club,running/queer-inclusive,MED,IG @gegenrunningclub,@gegenrunningclub,audience n/f,,weekly,,weekly run,,,,EN/DE
Berlin,Adidas Runners Berlin,running (brand-owned),LOW-MED,IG @adidasrunners + Meetup,@adidasrunners,,,weekly,,,,Adidas (owner),adidas (https://adidasrunners.adidas.com/community/berlin),EN/DE
Berlin,OYSHO Run Club Berlin,running/women fitness,LOW-MED,IG @oysho_community,@oysho_community,audience n/f,,recurring,,OYSHO run events,,OYSHO (owner),OYSHO (https://runningfomo.com/clubs/oysho-berlin),EN/DE
Berlin,ARYS Outdoor Club,running/outdoor+retail,MED,IG @arysstore_berlin,@arysstore_berlin,audience n/f,,recurring,,ARYS outdoor runs,,ARYS (retail brand),ARYS (https://arysstore.com/pages/arys-outdoor-club),EN/DE
Berlin,Rapha Cycling Club Berlin,cycling,LOW-MED,Strava club 320304 + IG @rapha_berlin,@rapha_berlin,8k IG,,weekly rides,,weekly RCC rides,,Rapha (owner),Rapha (https://content.rapha.cc/us/en/clubhouses/berlin),EN/DE
Berlin,AI Builders Club (Berlin),tech/AI,HIGH,Meetup + Luma,,"~5,000+ members",100–300+/event,,,Builders & Brews / hackathons,,"Nebius, n8n, Tavily, Base44",Nebius (https://luma.com/fpxsdfhl) ; n8n (https://luma.com/fpxsdfhl) ; Tavily (https://luma.com/fpxsdfhl) ; Base44 (https://luma.com/fpxsdfhl),EN
Berlin,Berlin AI Developers Group,tech/AI,HIGH,Meetup + Luma,,audience n/f,50–150/event,weekly series,,weekly AI/LLM talks,,Google Cloud (collab series),Google Cloud (https://www.meetup.com/berlin-ai-tech-talk/),EN
Berlin,Deep Work Club Berlin,tech/productivity,MED,Luma (lu.ma/dw-berlin),,audience n/f,,recurring,,Deep Work sessions,,,,EN
Berlin,Startup Grind Berlin,business networking,MED-HIGH,startupgrind.com + Luma,,,50–150/event,monthly,,monthly founder events,,Startup Grind / bank partners,Google (https://www.startupgrind.com/berlin/),EN
Berlin,Berlin Entrepreneurs Group,business networking,MED,Meetup,,audience n/f,50–100/event,recurring (Talks),Markus Lühmann,Berlin Entrepreneurs Talk,,host companies (venue partners),,EN
Berlin,Berlin Digital Nomads,digital nomads,MED-HIGH,Meetup,,"Fit: MED-HIGH (large, brand-attractive audience)",,recurring,,nomad meetups,,,,EN
Berlin,Berlin Social Meet Up,expat/social,MED-HIGH,Meetup,,,,daily,,daily social meetups,,bars/venues (rotating),,EN
Berlin,Gezellig Sessions,creative/live music,MED-HIGH,Meetup + Luma + IG @gezelligsessions,@gezelligsessions,audience n/f,,recurring,,living-room concerts,,FOMO Berlin (partner),FOMO Berlin (https://www.fomoberlin.com/p/fomo-berlin-insider-germany-s-2025-election-a-success-3-03-31-03),EN
Berlin,Berlin Book Club,creative/book club,MED,Meetup,,audience n/f,10–30/event,last: monthly book discussions,Craig S. (Super Organizer),monthly book discussions,,café/cultural-center venues,,EN
Berlin,Sauna Social Club Berlin,wellness/sauna,MED,IG @sauna_social_club_berlin,@sauna_social_club_berlin,"~2,300 IG",,recurring,,sauna rituals,,,,EN/DE
Berlin,Run-N-Rave,nightlife/running crossover,MED-HIGH,IG @run_n_rave,@run_n_rave,audience n/f,nightlife/running crossover,recurring,,run + rave events,,,,EN/DE
Paris,Food Runners Club,running/food,HIGH,IG @foodrunners.club,@foodrunners.club,~72k IG,,last: weekly run,Théo Delahaye & Théo Chaudet,weekly run,,partner restaurants/bakeries/cafés,Land & Monkeys (vegan bakery) + Boni’s / Munch (https://www.timeout.fr/paris/sport/a-paris-lappetit-pour-les-food-running-clubs-se-confirme),FR
Paris,Collision Running,running,HIGH,IG @collisionrunning + Strava,@collisionrunning,~15k IG,,,,Sunday run,,Saucony EU (PFW Jan 2025),Saucony EU (PFW Jan 2025 “Collision Running Café Powered by Saucony”) (https://believeintherun.com/best-of-running-paris-fashion-week-2025/),EN/FR
Paris,Midnight Runners Paris,running/fitness,HIGH,IG @midnightrunnersparis + Meetup,@midnightrunnersparis,~13k IG,,,,bootcamp run,,i-Run (@irunfr),i-Run (“powered by I-Run”) (https://www.heylo.com/g/85c6b042-62cd-47f3-a439-1dd9417f4246),EN/FR
Paris,adidas Runners Paris,running (brand-owned),LOW-MED,IG @runnersofparis + FB,@runnersofparis,3k IG,,weekly (run+yoga),Laura Grasset (@purpplecat) + 6 captains,zone run,,adidas (owner),adidas (official community page) (https://www.adidas.fr/adidasrunners/community/paris),FR
Paris,K I I N Run Club,running,MED-HIGH,IG @we.are.kiin,@we.are.kiin,2k IG,,weekly,"Maria (founder, 2020)",weekly run,,,,EN/FR
Paris,Paname Run Club,running/social,MED-HIGH,IG @paname_run,@paname_run,2k IG,,Tue “Mardisco” + wknd coffee runs,,Mardisco DJ run,,café finish partners (n/f),,FR
Paris,Paris Running Club (PRC),running,HIGH,IG @paris_rc,@paris_rc,~130 active members,~130/event,Tue evenings,Jay Smith (founder 2008),Tuesday run,,NIKELAB / Black Rainbow,NIKELAB + Black Rainbow (co-founders) (https://therundrop.com/clubs/paris-running-club-52730564),EN/FR
Paris,Le Peloton Cycling Club,cycling,HIGH,IG @lepelotoncyclingclub + Strava 731978,@lepelotoncyclingclub,4k IG,,weekly road rides,,“Vibrez en Jaune” ride 2026-07-26,,Insta360 (2026 pop-up),Insta360 (“Vibrez en Jaune” pop-up) (https://www.prnewswire.com/news-releases/think-bold-ride-bold-insta360-takes-over-the-champs-elysees-with-200-rider-community-event-302833050.html),EN/FR
Paris,Air Street Paris AI,tech/AI,HIGH,Luma (lu.ma/parisai),,"Fit: HIGH (VC-hosted, high-signal audience)",,~quarterly,"Nathan Benaich (Air Street) + L. Soboul, R. Jarre",AI meetup 2026-03-11,,"Air Street Capital (host); speakers Black Forest Labs, Google DeepMind",Air Street Capital (host) + Black Forest Labs + Google DeepMind (https://luma.com/parisai),EN
Paris,Paris.AI Meetup,tech/AI,MED,Luma (lu.ma/parisai2),,audience n/f,,recurring,,meetup Mar 5,,,,EN
Paris,GenAI Summit Paris,tech/AI,MED-HIGH,Luma (lu.ma/genaisummitparis),,,"**1,500+ attendees, 300+ investors**",annual,,summit 2026-04-10,,500+ companies/sponsors (n/f single),,EN
Paris,{Tech:Europe} Paris AI Hackathon,tech/AI,MED,Luma (lu.ma/paris-hackathon),,audience n/f,,recurring,Tech:Europe,hackathon,,,,EN
Paris,INTERNATIONALS in Paris,expat/social,HIGH,Meetup + IG,,~22k members,,weekly,"Fabiano, Tom, Toto, Benoit",weekly after-work,,bar/venue partners (n/f),,EN/FR
Paris,Paris Social Club,expat/social,MED,Meetup + IG @paris.social.club,@paris.social.club,audience n/f,,,,social meetup,,,,EN/FR
Paris,InterNations Paris,expat networking,MED-HIGH,internations.org/paris,,,,monthly + after-work,local Ambassadors,newcomers’ event,,venue/bar partners (n/f),,EN
Paris,Paris for Digital Nomads,digital nomads,MED-HIGH,Meetup,,,,weekly,,coworking day,,coworking-space partners (n/f),,EN
Paris,The Safe Page (Book Club Paris),creative/culture,MED-HIGH,IG @thesafepage_,@thesafepage_,5k IG,,monthly (themed),,monthly workshop @ Let’s Café & Atelier,,Let’s Café & Atelier (venue),Let’s Café & Atelier (venue) (https://www.parisselectbook.com/en/2026/04/04/book-clubs-in-paris-5-french-and-english-addresses-to-discover/),FR/EN
Paris,Shotgun (Experience),nightlife/experience,MED-HIGH,IG @shotgunexperience + Shotgun app,@shotgunexperience,~52k IG,,ongoing,,Paris music events,,festivals/clubs (platform; La Nuit Paris venue),,FR/EN
Paris,Sauna et Bains Collectifs (SBC),wellness/sauna,MED-HIGH,IG + saunas-collectifs.fr,,audience n/f,,daily,Henry de Montbazon (co-founder),Ground Control launch 2026-01,,Ground Control (venue),Ground Control (host venue) (https://saunas-collectifs.fr/saunagroundcontrol),FR
Paris,Founders Running Club Paris,business/running,MED,Meetup,,audience n/f,business/running,recurring,,founder run,,,,EN
Lisbon,Rookie Run Club Lisbon,running/fitness,HIGH,IG @rookierunclub_pt + Mato,@rookierunclub_pt,~15k IG,,Wed 19:30 Cais do Sodré + Sat 10:00 Praça do Comércio,,Sat 2026-03-07,,Oakberry + Marquise (treat sponsors),Oakberry (https://ma.to/event/super-half-shakeout-07-mar-2026) ; Marquise (https://www.ma.to/event/rookie-run-club-18-october-2025-219b99df),EN/PT
Lisbon,Lisbon Running Community (LXRC),running,MED-HIGH,IG @lisbonrunningcommunity + Strava,@lisbonrunningcommunity,9k IG,,Tue/Thu 19:30 + Sun 9:00,,weekly runs,,,,EN/PT
Lisbon,Founders Running Club Lisbon (FRC),running + startup networking,HIGH,IG @frclisbon + Meetup + Luma + LinkedIn,@frclisbon,"Fit: HIGH (founder audience + run, multi-named leaders, global brand)",,Fri 08:30 Praça do Comércio,"Ivan Soo, Michael P. Robinson, Tania Ávila, Tim T",2026-07-25,,,,EN
Lisbon,Nonstop Cycling Club (NSCC),cycling,HIGH,IG @nscc.lisbon + Strava + YouTube,@nscc.lisbon,audience n/f,,weekly rides,,weekly rides,,"Grupeto Bike Shop Café, Rise Bike Shop, Powerlab.pt, Cadê a Bike",Grupeto Bike Shop Café (https://beacons.ai/nscclisbon/community) ; Rise Bike Shop (https://beacons.ai/nscclisbon/community) ; Powerlab.pt (https://beacons.ai/nscclisbon/community) ; Cadê a Bike (https://beacons.ai/nscclisbon/community),PT/EN
Lisbon,Padel Social Club,sport/wellness (padel+run),MED-HIGH,padelsocial.club + IG,,audience n/f,,recurring (run+plunge+padel+games),,7k run + plunge + padel sessions,,,,EN
Lisbon,Lisbon Social Cycling Club,cycling,MED,IG @lisbonsocialcyclingclub,@lisbonsocialcyclingclub,audience n/f,,,,social rides,,,,EN/PT
Lisbon,Lisbon Surf Society,surf/outdoor,MED-HIGH,IG @lisbonsurfsociety + own shop,@lisbonsurfsociety,~719 IG,,recurring surf sessions,,surf sessions,,,,EN/PT
Lisbon,Lisbon Digital Nomads,expat/nomad social,HIGH,Meetup + IG + FB + own site,last: @ Wine Hunters 2026-03-19,~25k Meetup members,,large weekly,Ash + Aykut A,@ Wine Hunters 2026-03-19,,Wine Hunters (venue) + explicit sponsorship form on site,Wine Hunters (venue) (https://www.meetup.com/lisbon-digital-nomads/events/313602305/),EN
Lisbon,OneThousandClub (OTC) Lisbon,nightlife/social club,HIGH,Luma + LinkedIn + FB,,,,monthly+ socials,Mel Miles + Patricia R,OTC x Musique de Lune party (Shotgun),,Musique de Lune (record label),Musique de Lune (https://lu.ma/onethousandparty),EN
Lisbon,The Offline Club Lisbon,wellness/social (phone-free),HIGH,Luma + Meetup + IG + Mato,last: Offline Hangout @ Casa Casa Café,audience n/f,,,Joëlle + Lilly,Offline Hangout @ Casa Casa Café,,ABSENT + Casa Casa Café (venues),Absent (https://luma.com/absent-hangout) ; Casa Casa Café (https://luma.com/hangout-casacasa),EN
Lisbon,"Lisbon Digital Nomads, Expats & Locals",expat/social,MED,Meetup,,audience n/f,,recurring socials,,recurring socials,,,Wine Hunters (venue) (https://www.meetup.com/lisbon-digital-nomads/events/313602305/),EN
Lisbon,Hot Cold Club,wellness/sauna+ice,MED-HIGH,Luma + Mato + IG @hotcoldclub + own site,@hotcoldclub,audience n/f,,recurring sauna+plunge+brunch,,Sauna + Ice Plunge & Brunch,,,,EN/PT
Lisbon,Healthy Horizon Longevity Club,wellness/longevity,MED,healthyhorizon.com + IG,,audience n/f,,weekly rituals,,weekly sauna/plunge rituals,,,,EN
Lisbon,Lisbon GenAI Community,tech/AI,HIGH,Meetup,last: GDG x GenAI @ PagerDuty 2026-07-02,audience n/f,~100+/event,~monthly,,GDG x GenAI @ PagerDuty 2026-07-02,,Google + synvert xgeeks (sponsors),Google (https://gdg.community.dev/events/details/google-gdg-lisbon-presents-gdg-lisbon-x-lisbon-genai-community-meetup/) ; synvert xgeeks (https://gdg.community.dev/events/details/google-gdg-lisbon-presents-gdg-lisbon-x-lisbon-genai-community-meetup/),EN
Lisbon,GDG Lisbon,tech/AI,HIGH,Meetup + GDG platform,last: MongoDB UG x GDG @ Devoteam 2026-03-19,audience n/f,,,,MongoDB UG x GDG @ Devoteam 2026-03-19,,Devoteam Creative Tech (host) + Google,Devoteam Creative Tech (https://www.meetup.com/gdglisbon/events/313681568/),EN
Lisbon,Lisbon AI Tinkerers,tech/AI builders,MED-HIGH,aitinkerers.org + Luma,,audience n/f,,recurring,,AI Tinkerers meetup,,LXthon (launch sponsor),LXthon (https://lisbon.aitinkerers.org/),EN
Lisbon,Lisbon Founders Club,business networking,MED,Luma,,audience n/f,,recurring,,Founders Club events,,,,EN
Lisbon,Lisbon AI & Innovation,tech/AI,MED,Meetup,,audience n/f,,recurring,,recurring AI meetups,,,,EN
Lisbon,Fable Lisbon,creative/book/culture,MED-HIGH,IG @fablelisbon + Meetup,@fablelisbon,~11k IG,,,,creative events & workshops,,,,EN
Lisbon,Lisbon Fiction & Non-Fiction Book Club,creative/book,MED,Meetup,,audience n/f,,monthly,,“Children of Time” mtg 2026-03-21,,Saldanha Residences (venue),Saldanha Residences (https://www.meetup.com/lisbon-fiction-non-fiction-in-person-book-club/),EN
Amsterdam,Patta Running Team,running/street-culture,HIGH,IG @pattarunningteam + Strava + web,@pattarunningteam,audience n/f (Patta = global brand),,"Mon/Tue 19:30, Sun 10:30",Edson Sabajo (Patta cofounder),weekly runs from trainmore Singel 250,,Nike (Patta Running Team collection; Nike sponsors Patta Academy),Nike (Patta x Nike RT collection) (https://about.nike.com/en/newsroom/releases/nike-x-patta-running-team-collection),EN
Amsterdam,Midnight Runners Amsterdam,running/fitness,HIGH,Eventbrite + FB + web,,audience n/f,~50–150/event,weekly + parties,,2nd Anniversary Party 2025-05-03,,Mizuno (global official sponsor),Mizuno (https://corp.mizuno.com/en/news/20230220),EN
Amsterdam,Sunday Run Club,running/fitness,HIGH,IG @sun.dayrunclub + Strava,@sun.dayrunclub,~29k IG,,IG @sun.dayrunclub + Strava,Sophie Nordenhed,social/interval/beginner runs,,PerfectTed + La Place,PerfectTed (https://www.strava.com/clubs/sundayrunclubnl) ; La Place (https://www.strava.com/clubs/sundayrunclubnl),EN
Amsterdam,Running Late Club,running/fitness,HIGH,IG @runninglateclub_ams + Strava + Heylo,@runninglateclub_ams,audience n/f,,daily; Mon 18:30 w/Hoxton,,The Hoxton x RLC weekly run,,"The Hoxton (hotel, weekly partner)",The Hoxton (https://thehoxton.com/amsterdam/herengracht/whats-on/the-hoxton-x-running-late-clubweekly-run/),EN
Amsterdam,Cycle Capital Cycling Club,cycling,HIGH,Meetup + IG @cycle_capital,@cycle_capital,1k IG,4–30/ride,weekly (Sun),Arjen Kuin,Intl Social Ride #4 2026-07-12,,CIOVITA (clothing sponsor),CIOVITA (https://www.cyclecapital.cc/business-club-ciovita),EN
Amsterdam,Kaptein Cycling Club (KCC),cycling,HIGH,web + IG @kaptein_cycling_club + KNWU,@kaptein_cycling_club,330+ members,,"Wed/Thu eve, Sun AM",Daan Kahmann (president),weekly group rides,,"Kaptein Tweewielers, Sockeloen, Brouwerij De Eeuwige Jeugd",Kaptein Tweewielers (https://kapteincyclingclub.com/partners) ; Sockeloen (https://kapteincyclingclub.com/partners) ; Brouwerij De Eeuwige Jeugd (https://kapteincyclingclub.com/partners),EN
