city,community,classification,handle,audience,audience_source,last_active,last_active_date,confidence,evidence_url,reason,collabs
Tallinn,ESN Tallinn,local-community,@esn.tallinn (IG) + tallinn.esn.ee,"5,034 IG followers (verify_json; not in fresh Apify)",verify_json IG count (Apify returned n/f; corroborated by ESN accounts + FB + website),"Regular ESN events (movie nights, Tandem Cafe, trips, welcome weeks)",2026 (ongoing semester programming),Med,https://tallinn.esn.ee/,"Real active Erasmus Student Network section (founded 2003) serving Tallinn Univ/TalTech etc.; the restaurant on its IG profile is a collab, not the community",Erasmus Student Network (parent); restaurant collab on IG profile
Tallinn,Nomad Summit / Nomad Week Tallinn,local-community,Meetup /digital-nomads-tallinn-by-nomad-summit/ + nomadsummit.com,pan-EU nomad audience (Meetup group + Luma),Meetup group (digital-nomads-tallinn-by-nomad-summit) + nomadsummit.com/tallinn-2026,Conference + Nomad Week + Meetup after-work events,2026-07-03 to 07-05 (Kultuurikatel) + Nomad Week Jul 6-12,Med,https://www.nomadsummit.com/tallinn-2026,Active Tallinn digital-nomad node with a local Meetup group and dated 2026 conference/week at Kultuurikatel,Kultuurikatel (venue)
Tallinn,Tallinn Bicycle Week / Tour d’ÖÖ,local-community,@tallinnbicycleweek (IG) + FB + tbw.ee,"3,416 IG followers","IG @tallinnbicycleweek (ig_fresh.csv, 3,417)",IG last post 2025-10-13 (off-season); Tour d’ÖÖ night rides recurring,"2025-10 IG; Tour d’ÖÖ LXXIII recurring rides (free, open)",Med,https://tbw.ee/,Recurring Tallinn cycling-culture community (Tour d’ÖÖ free night rides); IG seasonal-stale but the ride series is live on tbw.ee/greentallinn.eu,UIT Festival + Tartu Cyclists’ Society (co-org); Ruum 414 (design)
Tallinn,TERVISESPORT,local-community,Strava club 45391 + biketravel.ee,"4,291 FB likes",verify_json FB likes (Strava profile 403 to bot; biketravel.ee),Strava group rides (Greens/Yellows),"Recurring weekly rides (Kakumäe Selver, Pirita Velotrek)",Med,https://www.strava.com/clubs/45391,"Estonia's largest amateur cycling club (biketravel.ee), recurring Tallinn group rides for beginners and advanced riders",Biketravel.ee (parent)
Tallinn,CFC Cycling Fan Club Racing Team,local-community,Strava club 131468 + cfc.ee,112 members,verify_json Strava member count (Strava profile 403 to bot),Club rides/racing (cfc.ee),"Active club (CFC Spordiklubi, Rummu tee 3, Tallinn)",Med,https://www.strava.com/clubs/131468,"Real Tallinn cycling sport club (CFC Spordiklubi) with road/MTB/cyclocross; verified address Rummu tee 3, Tallinn",
Tallinn,Team Vänt,local-community,Strava club 183068 + FB /teamv2nt,516 FB likes,verify_json FB likes (FB page teamv2nt confirmed),Club rides,Active (FB page live),Med,https://www.facebook.com/teamv2nt/,Tallinn amateur cycling club with a live Facebook page and Strava club,
Tallinn,Tallinn Books & Bites,local-community,Beehiiv (tallinnbooksandbites.beehiiv.com) + IG,n/f (login-walled; newsletter-based),n/f (Beehiiv newsletter; IG handle unconfirmed),Monthly book-club meetups,Recurring monthly (join/skip any month),Low,https://tallinnbooksandbites.beehiiv.com/p/welcome-tallinn-books-bites-book-club,Tallinn book club that meets monthly to read and explore places together; active via Beehiiv newsletter,votes books on IG
Tallinn,BNI North Star Tallinn,local-community,bni.ee/tallinn-bni-north-star-tallinn + FB,chapter membership (closed-membership referral model),bni.ee chapter page + LinkedIn,Weekly Friday meetings,"Recurring weekly (Fri 07:00-08:30, Nordic Forum hotel, Tallinn)",Low,https://bni.ee/tallinn-bni-north-star-tallinn/en-US/index,Active local BNI chapter with weekly dated meetings in Tallinn; caveat = closed-membership (one company per field) referral model,BNI (global franchise)
Tallinn,Ohana Tallinn,local-community,@ohanatallinn (IG),518 IG followers,"IG @ohanatallinn (ig_fresh.csv, 519)",IG last post 2026-04-21,2026-04-21 (IG),Low,https://www.instagram.com/ohanatallinn/,"Private wellness/sauna space in Old Town Tallinn (wood-fired sauna, cold bath, venue rental); IG active within ~4 months (borderline >90d stale)",
Tallinn,Tallinn Social & Language Exchange,local-community,Eventbrite (Tallinn Social),weekly Friday attendees (€3 ticketed),Eventbrite event page (Tallinn Social),Weekly Friday meetups,"Recurring every Friday 18:00 (Hell Hunt, Pikk 39, Old Town)",High,https://www.eventbrite.com/e/tallinn-social-and-language-exchange-make-new-friends-tickets-1992612700226,"Active recurring weekly social/language-exchange for internationals & expats at Hell Hunt, Old Town Tallinn, ticketed multi-date",Hell Hunt (venue)
Tallinn,Blockchain Tallinn (formerly Blockchain & Ethereum Tallinn),local-community,Meetup /blockchain-ethereum-tallinn/,"1,060 members",Meetup group page (blockchain-ethereum-tallinn),Web3 Community Brunch series + talks,2026-06-19 (event); brunches Feb/Mar/May 2026,Med,https://www.meetup.com/blockchain-ethereum-tallinn/,Active Tallinn crypto/web3 community with recurring 2026 Web3 Community Brunches and talks (part of #BUIDL Network),Estonian Web3 Chamber; Basiilik (venue)
Tallinn,Casa De Baile (Salsa/Bachata Tallinn),local-community,tantsukeskus.ee,weekly Friday SBK party (biggest in Tallinn),tantsukeskus.ee (Casa de Baile),Weekly SBK parties + courses,Recurring weekly Friday party (2026),Med,https://tantsukeskus.ee/en,Biggest Salsa/Bachata/Kizomba dance school and social-dance community in Tallinn; hosts the city's biggest weekly SBK party,
Tallinn,Tallinn Tech Mixer & Social (Tech/AI/Data/IT),local-community,Eventbrite (Tallinn Social),recurring afterwork attendees (ticketed),Eventbrite event page (Tallinn Tech Mixer),Afterwork tech mixer,"2026-07-10 (Hell Hunt, Tallinn)",Med,https://www.eventbrite.com/e/tallinn-tech-mixer-and-social-tech-ai-data-it-tickets-1992608849709,Active recurring Tallinn tech/AI/data/IT networking mixer with dated 2026 events at Hell Hunt,Hell Hunt (venue)
Berlin,Berlin Braves Sports Club,local-community,@berlinbraves,"5,334 Strava members",Strava club berlinbraves (id 313820),Strava,2026-06-08,High,https://www.strava.com/clubs/berlinbraves,"Kreuzberg-based independent run/sports club with clubhouse, weekly runs, and a large Strava club (5,334) second-sourcing the IG figure.","Nike, Oakley, Ciele"
Berlin,Berlin Track Club,local-community,@berlintrackclub,"9,238 IG followers",IG @berlintrackclub (ig_fresh),IG,2026-03-17,Med,https://berlintrackclub.de/en/,Registered e.V. performance running team (founded 2019) with a live Berlin site; IG ~154d stale so confidence capped at Med.,"Nike Running, Maurten"
Berlin,Running FOMO Berlin,local-community,@runningfomo,"3,816 IG followers",IG @runningfomo (ig_fresh),runningfomo.com calendar,2026-08-19,High,https://runningfomo.com/runners,Berlin runners' events hub whose live calendar lists 266 events incl. dated Aug 2026 runs; IG active (32d).,"LIQID (FOMO x LIQID VIP dinner, Jul)"
Berlin,Gegen Running Club,local-community,@gegenrunning,n/f (no published count),runningclubsberlin.de aggregator listing,aggregator/Strava,2026-08-01,Med,https://www.runningclubsberlin.de/clubs/gegen-running-club,Neukölln queer-inclusive run club (Wed/Sat at Tempelhofer Feld); handle corrected from @gegenrunningclub to @gegenrunning.,
Berlin,ARYS Outdoor Club,local-community,@arysstore_berlin,"16,798 IG followers",IG @arysstore_berlin (ig_fresh),IG,2026-08-17,Med,https://arysstore.com/pages/arys-outdoor-club,"Prenzlauer Berg retail store that runs a recurring ARYS Outdoor Club (Tuesday ~5km + monthly experiences, member comp through Jun 2026); the run club is the community, IG active.",ARYS (retail brand)
Berlin,Rapha Cycling Club Berlin,local-community,@rapha_berlin,"8,424 Strava members",Strava club Rapha Clubhouse Berlin (id 320304),Strava,2026-08-06,High,https://www.strava.com/clubs/rapha-clubhouse-berlin-320304?hl=en-GB,"Local Berlin RCC chapter with own clubhouse in Mitte, own local handle and local Strava (8,424) hosting weekly organized rides; audience counted from the local Strava, not the global Rapha brand.",Rapha (owner)
Berlin,AI Builders Club (Berlin),local-community,,"3,114 members (network, Amsterdam HQ)",Meetup ai-builders-club group page,Meetup / Luma Berlin tag,2026-08-18,Low,https://luma.com/ai-builders,"Pan-European franchise (Amsterdam HQ) that runs dated Berlin editions (RAG & Agents Aug 18 2026, 3 upcoming Berlin events on Luma); Berlin turnout small so Low.","Nebius, n8n, Tavily, Base44"
Berlin,Berlin AI Developers Group,local-community,,"4,751 Meetup members",Meetup berlin-ai-tech-talk group page,Meetup,2026-08-05,Low,https://www.meetup.com/berlin-ai-tech-talk/,"Large Berlin-badged AI/LLM group with dated recurring events; events run virtual (AICamp) rather than in-person, so Low.",Google Cloud (collab series)
Berlin,Deep Work Club Berlin,local-community,,100+ founders/operators (self-stated),Luma lu.ma/dw-berlin calendar copy,Luma,2026-08-27,High,https://lu.ma/dw-berlin,"Genuine Berlin-local in-person community hosting dated events at named Mitte venues (Factory Berlin, LAP Coffee) through Aug/Sep 2026.",
Berlin,Startup Grind Berlin,local-community,,"4,306 members",startupgrind.com/berlin chapter page,startupgrind.com,2026-08-01,High,https://www.startupgrind.com/berlin/,"Established local Berlin chapter of the global network running in-person Berlin events (NVIDIA roundtable, monthly breakfasts); member count verified exactly.",Startup Grind / bank partners
Berlin,Berlin Digital Nomads,local-community,,"1,204 Meetup members",Meetup berlin-digital-nomads group page,Meetup,2026-08-16,Med,https://www.meetup.com/berlin-digital-nomads/,"Real in-person Berlin nomad meetups (last Aug 16 2026 at Tempelhofer Feld); count corrected from vague claim to actual 1,204, small turnout so Med.",
Berlin,Berlin Social Meet Up,local-community,,"16,895 Meetup members",Meetup berlin-social-group page,Meetup,2026-08-20,High,https://www.meetup.com/berlin-social-group/,"Largest and most active of the set: weekly dated in-person Berlin socials (100+ attendees), next Aug 20 2026.",bars/venues (rotating)
Berlin,Gezellig Sessions,local-community,@gezelligsessions,"6,224 IG followers",IG @gezelligsessions (ig_fresh),Luma lu.ma/gezellig,2026-08-25,High,https://luma.com/gezellig,Berlin social live-music experiences with dated Luma events Aug 24 (rooftop) & Aug 25 (Clarchens Ballhaus) 2026; live despite stale IG.,FOMO Berlin (partner)
Berlin,Berlin Book Club,local-community,,670 Meetup members,Meetup berlin-book-club group page,Meetup,2026-08-17,High,https://www.meetup.com/berlin-book-club/,"Active Berlin-local book club (4.8 stars), mix of in-person and online, last event Aug 17 2026, next Sep 13 2026.",cafe/cultural-center venues
Berlin,Run-N-Rave,local-community,@run_n_rave,"7,584 IG followers",IG @run_n_rave (ig_fresh),Luma / Running FOMO calendar,2026-08-20,Med,https://luma.com/runrave,Kreuzberg BIPoC/FLINTA-led fun-run (Thu 7am) with live Luma/Eventbrite signup and a dated Aug 20 2026 run; live despite stale IG.,
Berlin,Berlin Runners,local-community,,"4,470 Meetup members",Meetup berlin-running group page,Meetup,2026-08-19,High,https://www.meetup.com/berlin-running/,"One of Berlin's most active independent run communities (4.9 stars, 1,113 ratings), multiple weekly runs, next Aug 19 2026.",
Berlin,Founders Running Club :: Berlin,local-community,,"1,456 Meetup members",Meetup founders-running-club-berlin group page,Meetup,2026-08-22,High,https://www.meetup.com/founders-running-club-berlin/,"Independent Berlin founder/investor/startup run club with weekly cadence (Tiergarten), next Aug 22 2026.",
Berlin,Berlin Cycling,local-community,,"4,115 Meetup members",Meetup berlin-cycling group page,Meetup,2026-08-22,High,https://www.meetup.com/berlin-cycling/,"Independent leisure-pace Berlin cycling club running dated day-trip rides most weekends, next Aug 22 2026.",
Berlin,Startups.Berlin,local-community,,"23,667 Meetup members",Meetup berlinstartups group page,Meetup,2026-08-26,High,https://www.meetup.com/berlinstartups/,One of Berlin's largest startup communities running dated ticketed networking events (Cybersecurity x AI next Aug 26 2026).,
Berlin,German English Language Exchange in Berlin,local-community,,"8,072 Meetup members",Meetup german-english-language-exchange-in-berlin group page,Meetup,2026-08-18,High,https://www.meetup.com/german-english-language-exchange-in-berlin/,"Running since 2008, every Tuesday in Kreuzberg with consistent dated weekly turnout.",
Berlin,Berlin Language Exchange and Social Group,local-community,,"7,498 Meetup members",Meetup berlin-language-exchange-and-social-group page,Meetup,2026-08-22,High,https://www.meetup.com/berlin-language-exchange-and-social-group/,"High real attendance (60-80/event) in Friedrichshain, last Aug 8 2026, next Aug 22 2026.",
Berlin,International Friends in Berlin,local-community,,"16,740 Meetup members",Meetup international-friends-in-berlin group page,Meetup,2026-09-05,High,https://www.meetup.com/international-friends-in-berlin/,"Large expat social community hosting recurring ticketed themed Berlin events, next Sep 5 2026 (Hot Sauce Competition).",
Berlin,Berlin Photo Community: The ISO Club,local-community,,"2,529 Meetup members",Meetup theisoclub group page,Meetup,2026-09-05,High,https://www.meetup.com/theisoclub/,"Recurring Berlin photo-shoot meetups with strong real attendance (32 last event), next Sep 5 2026 at RAW-Gelaende.",
Berlin,Artists & Musicians Hangout & Events in Berlin,local-community,,"1,370 Meetup members",Meetup artists-musicians-hangout-events-in-berlin group page,Meetup,2026-08-19,High,https://www.meetup.com/artists-musicians-hangout-events-in-berlin/,"Near-daily ticketed jam/perform/improv events in Kreuzberg, next Aug 19 2026 (Improv Workshop, EUR15).",
Paris,Collision Running,local-community,@collisionrunning,"15,183 IG followers",IG @collisionrunning (ig_fresh.csv),IG post,2026-08-09,High,https://pariswellnessreview.com/2025/05/11/run-and-connect-community-driven-run-clubs-in-paris/,"Paris run club open to all, Sundays 11:00 (11th arr.), locations shared weekly on Strava/IG; posted 9d ago",Saucony EU (PFW Jan 2025)
Paris,Midnight Runners Paris,local-community,@midnightrunnersparis,"12,864 IG followers",IG @midnightrunnersparis (ig_fresh.csv),IG post,2026-08-01,High,https://www.instagram.com/midnightrunnersparis/,"Local Paris chapter handle (distinct from global @midnightrunners), weekly runs via Heylo, powered by @irunfr; posted 17d ago",i-Run (@irunfr / @irun_paris)
Paris,Paris Running Club (PRC),local-community,@paris_rc,"13,510 IG followers",IG @paris_rc (ig_fresh.csv),IG post,2026-06-29,High,https://www.instagram.com/paris_rc/,"Paris running club since 2008, founded by Jay Smith, sponsored by @blackrainbowagency; active this summer",NIKELAB / Black Rainbow
Paris,Food Runners Club,local-community,@foodrunners.club,"89,155 IG followers",IG @foodrunners.club (ig_fresh.csv),"IG post (summer break, reprise 8 Sep)",2026-05-12,Med,https://pariswellnessreview.com/2025/05/11/run-and-connect-community-driven-run-clubs-in-paris/,"Paris-founded run+eat club (Theo & Theo), Tuesdays savoury / weekend sweet food-spot runs; on summer break, resumes 8 Sep. Note: has expanded to several FR cities",partner restaurants/bakeries/cafes
Paris,K I I N Run Club,local-community,@we.are.kiin,"7,357 IG followers",IG @we.are.kiin (ig_fresh.csv),IG post (summer break Aug 1-31),2026-02-26,Med,https://pariswellnessreview.com/2025/05/11/run-and-connect-community-driven-run-clubs-in-paris/,"Paris community run club, Wed & Sun at @lepelotoncafe (4th arr.), all levels; on stated summer break Aug 1-31, second-sourced active via PWR",Le Peloton Cafe (venue)
Paris,Paname Run Club,local-community,@paname_run,"6,344 IG followers",IG @paname_run (ig_fresh.csv),"IG post (summer break, reprise 1 Sep)",2026-05-23,Med,https://pariswellnessreview.com/2025/05/11/run-and-connect-community-driven-run-clubs-in-paris/,"Social run club, Tues after-run DJ set (4th arr.) + Sat coffee runs (7th arr.); on summer break, resumes 1 Sep",cafe finish partners
Paris,Le Peloton Cycling Club,local-community,@lepelotoncyclingclub,"3,638 IG followers",IG @lepelotoncyclingclub (ig_fresh.csv),Strava club ride (Jul 2026),2026-07-24,Med,https://www.strava.com/clubs/le-peloton-cycling-club-731978,International cycling club with Paris clubhouse @lepelotonstudio (Bd Montparnasse); July 2026 ride event confirmed on Strava (IG staleness offset by live Strava),Insta360 (2026 pop-up); Le Peloton Cafe/Studio
Paris,The Safe Page (Book Club Paris),local-community,@thesafepage_,"11,399 IG followers",IG @thesafepage_ (ig_fresh.csv),IG event posts (2026 editions),2026-05-10,Med,https://www.parisselectbook.com/en/2026/04/04/book-clubs-in-paris-5-french-and-english-addresses-to-discover/,"Engaged monthly Paris book club + artistic workshops; 2026 editions (8th edition post, 10 May 2026 event); listed in Apr-2026 Paris book-club roundup",Let's Cafe & Atelier (venue)
Paris,Founders Running Club Paris,local-community,Meetup founders-running-club-paris (IG @frcparis),"1,646 Meetup members",Meetup group page (Paris chapter),Meetup event,2026-08-22,High,https://www.meetup.com/founders-running-club-paris/,"Paris chapter with dated weekly Meetup runs (upcoming Aug 22/29, Sep 5/12; past Aug 8/15), 1,646 local members, reviews to Jul 2026 - member count is Paris-chapter-specific",foundersrc global network (WhatsApp/Strava)
Paris,Air Street Paris AI meetup,local-community,Luma lu.ma/parisai (Air Street events),"Sold out (RSVP-gated, headcount not public)",Luma event page lu.ma/parisai,Luma dated meetup,2026-03-11,Med,https://lu.ma/parisai,"Recurring Paris AI meetup hosted by Nathan Benaich/Air Street Capital; dated RSVP events (last 11 Mar 2026, sold out) with local builder audience","Air Street Capital (host); speakers from Black Forest Labs, Google DeepMind"
Paris,Running Flan Club,local-community,@runningflanclub_,"17,000 IG followers",IG @runningflanclub_,IG event posts (2026),2026-06,Med,https://therundrop.com/clubs/running-flan-club-79907485,"Paris flan-tasting run club (founded Sep 2024, brothers Bernhard); weekly Saturday runs to a different bakery, 200+ at one event, participation 3-6EUR",rotating artisanal Paris bakeries
Paris,Pretend Parisiens Run Club,local-community,@pretendparisiens,"6,555 IG followers",IG @pretendparisiens,IG event posts,2026,Med,https://pariswellnessreview.com/2025/05/11/run-and-connect-community-driven-run-clubs-in-paris/,"English-speaking/expat-friendly Paris run collective, Saturdays 9:30 (1st arr., Pont Neuf), 5km + coffee; listed in PWR and TheRunDrop 2026",podcast/community collective (Paris + Melbourne)
Paris,Flow Club (Flow Run Club),local-community,Strava flowrunningclub (@flowrunningclub),"~2,000 runners",Paris Wellness Review (club-reported ~2000 runners),weekly sessions,2026,Med,https://pariswellnessreview.com/2025/05/11/run-and-connect-community-driven-run-clubs-in-paris/,Training-led Paris run collective founded 2024; Tues track (16th arr.) + Sun social runs (1st arr.); ~2000 runners via Strava/WhatsApp,Hyrox / half-marathon training partners
Paris,WE'LL RUN Paris,local-community,@well_runparis,"2,778 IG followers",IG @well_runparis,weekly sessions,2026,Med,https://pariswellnessreview.com/2025/05/11/run-and-connect-community-driven-run-clubs-in-paris/,"Paris run club mixing track training (Tues, 20th arr.) and Thursday city runs; values-driven local community",n/f
Paris,Let's Run Paris,local-community,@lets_run_paris,"1,967 IG followers",IG @lets_run_paris,biweekly runs,2026,Med,https://www.instagram.com/lets_run_paris/,"Parisian running group, biweekly runs year-round (Mon 20:00 Le Triomphe, Sat 09:00); listed in TheRunDrop Paris 2026",gay_lussac_restaurant (finish partner)
Paris,Okto Running Club,local-community,@okto_runningclub,927 IG followers,IG @okto_runningclub,weekly Saturday runs,2026,Med,https://pariswellnessreview.com/2025/05/11/run-and-connect-community-driven-run-clubs-in-paris/,"Paris run club founded by sports physiotherapists (Okto Kine & Sport), open to all levels, Saturday runs + coffee; PWR + TheRunDrop 2026",Okto - Kine & Sport (@okto_paris)
