original_line	rule_summary	new_location	status
433-436	PHPDoc over inline comments; array shapes	CLAUDE.md#PHP	kept
439	enum keys TitleCase	CLAUDE.md#PHP	kept
445-446	every change tested; minimum tests with --compact	CLAUDE.md#Test Enforcement	kept
452-454	make: commands; make:class; --no-interaction	CLAUDE.md#Do Things the Laravel Way	kept
457-461	Eloquent relationships, Model::query, avoid DB::, eager loading, query builder for complex	CLAUDE.md#Do Things the Laravel Way	kept
464	new models: factories+seeders; ask about other things	CLAUDE.md#Do Things the Laravel Way	kept
467	API Resources + versioning unless convention differs	CLAUDE.md#Do Things the Laravel Way	kept
470-471	Form Requests; check sibling rule style	CLAUDE.md#Do Things the Laravel Way	kept
474	queued jobs ShouldQueue	CLAUDE.md#Do Things the Laravel Way	kept
477	built-in auth features	CLAUDE.md#Do Things the Laravel Way	kept
480	named routes + route()	CLAUDE.md#Do Things the Laravel Way	kept
483	env() only in config files	CLAUDE.md#Do Things the Laravel Way	kept
486-488	test factories/states; faker convention; make:test, --unit, most feature	CLAUDE.md#Do Things the Laravel Way	kept
491	Vite manifest error fix	CLAUDE.md#Do Things the Laravel Way	kept
497-498	search-docs for v12; streamlined structure	CLAUDE.md#Laravel 12	kept
501-506	middleware in bootstrap/app.php; providers.php; no Console Kernel; commands auto-register	CLAUDE.md#Laravel 12	kept
509	column modify must include all attributes	CLAUDE.md#Laravel 12	kept
510	native eager-load limit	CLAUDE.md#Laravel 12	kept
513	casts() method preferred	CLAUDE.md#Laravel 12	kept
519-520	pint --dirty before finalizing; not --test	CLAUDE.md#Laravel Pint	kept
526-527	PHPUnit only; convert Pest	CLAUDE.md#PHPUnit	kept
528-529	run updated test; ask about full suite	CLAUDE.md#PHPUnit	kept
530	test happy/failure/weird paths	CLAUDE.md#PHPUnit	kept
531	never remove tests without approval	CLAUDE.md#PHPUnit	kept
534-537	running tests commands	CLAUDE.md#PHPUnit	kept
